epoch,accuracy,loss,val_accuracy,val_loss
0,0.7850000262260437,0.6481502652168274,0.78125,0.9568740129470825
1,0.8579999804496765,0.49182289838790894,0.8887500166893005,0.36196303367614746
2,0.8654999732971191,0.4228755831718445,0.824999988079071,0.720944881439209
3,0.8960000276565552,0.38431859016418457,0.9024999737739563,0.4061434268951416
4,0.8985000252723694,0.3473905622959137,0.875,0.5341874957084656
5,0.9100000262260437,0.3560568690299988,0.9012500047683716,0.4386291205883026
6,0.9254999756813049,0.29340916872024536,0.9075000286102295,0.42785075306892395
7,0.9259999990463257,0.2800758183002472,0.8949999809265137,0.4873785674571991
8,0.9369999766349792,0.25297537446022034,0.9012500047683716,0.43005552887916565
9,0.9350000023841858,0.2359694242477417,0.8887500166893005,0.5252143144607544
